Name,Division,Group,Department,Program Name,Course Name,Duration(in hrs),Completed,Enrollment Time,Completion Time,Learning Hours Spent,Course Grade,Skills Learned
Person_1,Operations - TSK,Steel & Mills - TSK,Steel Melting Shop & LCP TSK,Six Sigma Black Belt Learning Program,The Define Phase for the 6 σ Black Belt,5.8,,,,,,Trigonometric Integral; Lean Six Sigma; Six Sigma; Analysis; Project
Person_1,Operations - TSK,Steel & Mills - TSK,Steel Melting Shop & LCP TSK,Six Sigma Black Belt Learning Program,The Analyze Phase for the 6 σ Black Belt,7.5,,,,,,Six Sigma; Training; Culture; Analysis; Leadership
Person_1,Operations - TSK,Steel & Mills - TSK,Steel Melting Shop & LCP TSK,Six Sigma Black Belt Learning Program,The Measure Phase for the 6 σ Black Belt,10.8,,,,,,Process Analysis; Process; Measurement; General Statistics; Performance; Analysis
Person_1,Operations - TSK,Steel & Mills - TSK,Steel Melting Shop & LCP TSK,Six Sigma Black Belt Learning Program,DFSS for the 6 σ Black Belt,5,,,,,,Trigonometric Integral; Six Sigma; Leadership and Management
Person_1,Operations - TSK,Steel & Mills - TSK,Steel Melting Shop & LCP TSK,Six Sigma Black Belt Learning Program,Team Management for the 6 σ Black Belt,2.5,,,,,,Project; Conflict Management; Conflict Resolution; Leadership; Team Management; Communication; Project Management; Leadership and Management
Person_1,Operations - TSK,Steel & Mills - TSK,Steel Melting Shop & LCP TSK,Six Sigma Black Belt Learning Program,Organization Planning and Development for the 6 σ Black Belt,6.2,,,,,,Planning; Trigonometric Integral; Leadership; Six Sigma; Leadership and Management; Analysis
Person_1,Operations - TSK,Steel & Mills - TSK,Steel Melting Shop & LCP TSK,Six Sigma Black Belt Learning Program,The Control Phase for the 6 σ Black Belt,6,,,,,,Trigonometric Integral; Six Sigma
Person_1,Operations - TSK,Steel & Mills - TSK,Steel Melting Shop & LCP TSK,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,No,2023-03-24T05:29:17.000Z,,0.01,0,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_1,Operations - TSK,Steel & Mills - TSK,Steel Melting Shop & LCP TSK,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_1,Operations - TSK,Steel & Mills - TSK,Steel Melting Shop & LCP TSK,Six Sigma Black Belt Learning Program,The Improve Phase for the 6 σ Black Belt,5,,,,,,Planning
Person_2,VP One SC,Integrated Planning & Service,Master Production Planning & Margin Mgmt,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_2,VP One SC,Integrated Planning & Service,Master Production Planning & Margin Mgmt,Supply Chain Planning Learning Program,Supply Chain Planning,8.4,No,2023-04-24T07:02:35.000Z,,0.09,0,Supply Chain; Demand; Forecasting; Chaining; Planning
Person_2,VP One SC,Integrated Planning & Service,Master Production Planning & Margin Mgmt,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_3,TSM,Quality,Scientific Services -Iron Making,School of Visualization ONE IT,Creating Dashboards and Storytelling with Tableau,13.4,,,,,,Storytelling; Tableau Software; Data Visualization; Software
Person_3,TSM,Quality,Scientific Services -Iron Making,School of Visualization ONE IT,Fundamentals of Visualization with Tableau,8.1,No,2023-04-28T11:05:59.000Z,,5.47,46.81,Tableau Software; Data Visualization; Software
Person_3,TSM,Quality,Scientific Services -Iron Making,School of Visualization ONE IT,Essential Design Principles for Tableau,11,,,,,,Principle; Tableau Software; Data Visualization; Software
Person_3,TSM,Quality,Scientific Services -Iron Making,School of Visualization ONE IT,Visual Analytics with Tableau,8.1,,,,,,Map; Analytics; Tableau Software; Data Visualization; Software
Person_3,TSM,Quality,Scientific Services -Iron Making,School of Visualization ONE IT,Data Visualization with Tableau Project,6.3,,,,,,Tableau Software; Data Analysis; Data Visualization; Software; Analysis
Person_4,TSM,Quality,Scientific Services -Iron Making,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_4,TSM,Quality,Scientific Services -Iron Making,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_4,TSM,Quality,Scientific Services -Iron Making,Teamwork Skills Learning Program,High Performance Collaboration: Leadership Teamwork and Negotiation,10.8,,,,,,Team Building; Negotiation; Team Management; Collaboration; Leadership; Leadership Development; Leadership and Management
Person_4,TSM,Quality,Scientific Services -Iron Making,Teamwork Skills Learning Program,Teamwork Skills: Communicating Effectively in Groups,8.2,,,,,,Team Building; Communication
Person_5,M&S(LP),Chief Commercial Officer (Long Product),"LP-M&S (TISCON Retail),",Sales Learning Program,Connecting with Sales Prospects,5.8,Yes,2023-04-04T06:19:31.000Z,2023-05-03T11:11:45.000Z,5.09,100,Sales; Sales Strategy; Strategy
Person_5,M&S(LP),Chief Commercial Officer (Long Product),"LP-M&S (TISCON Retail),",Sales Learning Program,Channel Management and Retailing,5.4,No,2023-05-02T16:06:44.000Z,,1.55,20,Marketing; Leadership and Management
Person_5,M&S(LP),Chief Commercial Officer (Long Product),"LP-M&S (TISCON Retail),",School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,Yes,2023-04-12T10:40:54.000Z,2023-04-23T07:02:03.000Z,5.17,87.5,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_5,M&S(LP),Chief Commercial Officer (Long Product),"LP-M&S (TISCON Retail),",School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_6,ED & CFO,Portfolio Management & FFI,Tax Centre of Excellence- Indirect Tax,Financial Analysis Learning Program,The Language and Tools of Financial Analysis,10.3,,,,,,Financial Ratio; Balance Sheet; Financial Analysis; Finance; Accounting; Analysis
Person_7,TSM,Quality,Scientific Services -Iron Making,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_7,TSM,Quality,Scientific Services -Iron Making,Design Thinking Learning Program,Design Thinking for Innovation,5.5,No,2023-05-04T06:17:21.000Z,,1.65,0,Design Thinking; Innovation; Leadership and Management
Person_7,TSM,Quality,Scientific Services -Iron Making,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_8,TSM,Khopoli Operations,Quality Khopoli,Six Sigma Yellow Belt Learning Program,Six Sigma Tools for Define and Measure,4.1,,,,,,Trigonometric Integral; Basic Descriptive Statistics; Six Sigma; Project Management; Data Analysis; Measurement; General Statistics; Project; Leadership and Management; Analysis
Person_8,TSM,Khopoli Operations,Quality Khopoli,Six Sigma Yellow Belt Learning Program,Six Sigma Principles,7.5,Yes,2023-05-09T10:30:22.000Z,2023-05-25T10:49:32.000Z,2.86,89.14,Process; Trigonometric Integral; Lean Six Sigma; Six Sigma; Leadership and Management
Person_8,TSM,Khopoli Operations,Quality Khopoli,Six Sigma Yellow Belt Learning Program,Six Sigma Tools for Improve and Control,4,,,,,,Trigonometric Integral; Process Improvement; Hypothesis; Lean Six Sigma; Hypothesis Testing; Six Sigma; Process; Analysis; Leadership and Management; Project
